index,小区名称,所在区域,总价,总价单位,单价,单价单位,房屋年代,户型,楼层,建筑面积,房屋朝向,装修情况,梯户比例,配备电梯,产权年限
22,三里河一区3号院,西城 月坛 二至三环,890,万,134442,元/平米,1999年建/塔楼,1室1厅1厨1卫,高楼层 (共18层),66.2㎡,南,简装,两梯十二户,有,70年
23,马甸南村,西城 马甸 二至三环,758,万,145490,元/平米,1990年建/板塔结合,1室1厅1厨1卫,中楼层 (共13层),52.1㎡,南,精装,两梯十八户,有,70年
24,荣丰2008,西城 广安门 二至三环,450,万,152646,元/平米,2007年建/塔楼,1室1厅1厨1卫,顶层 (共16层),29.48㎡,北,简装,三梯三十户,有,70年
25,冠英园小区,西城 官园 二环内,1332,万,118717,元/平米,1999年建/板塔结合,2室1厅1厨2卫,低楼层 (共10层),112.2㎡,南 北,简装,两梯两户,有,70年
26,白菜湾社区,西城 天宁寺 二至三环,630,万,105316,元/平米,1991年建/板楼,2室1厅1厨1卫,中楼层 (共6层),59.82㎡,南 北,简装,一梯两户,无,70年
27,远见国际公寓,西城 广安门 二至三环,435,万,93328,元/平米,2008年建/塔楼,1室0厅1厨1卫,低楼层 (共26层),46.61㎡,东,简装,四梯十九户,有,70年
28,双旗杆东里,西城 马甸 二至三环,739,万,141571,元/平米,1979年建/板楼,2室1厅1厨1卫,底层 (共5层),52.2㎡,南 北,简装,一梯三户,无,70年
29,新德街35号院,西城 德胜门 二至三环,850,万,150443,元/平米,1980年建/板楼,3室1厅1厨1卫,顶层 (共5层),56.5㎡,南 北,简装,一梯三户,无,70年
30,远见名苑,西城 广安门 二至三环,479,万,90583,元/平米,2004年建/塔楼,1室0厅1厨1卫,中楼层 (共24层),52.88㎡,东,简装,四梯二十户,有,70年
31,文联宿舍,西城 马甸 二至三环,1150,万,142680,元/平米,1992年建/塔楼,3室1厅1厨1卫,中楼层 (共20层),80.6㎡,西南 北,精装,两梯七户,有,70年
32,永居东里,西城 天宁寺 二至三环,449,万,89657,元/平米,1980年建/板楼,2室1厅1厨1卫,顶层 (共6层),50.08㎡,南 北,简装,一梯三户,无,70年
33,自新路,西城 右安门内 二环内,530,万,109054,元/平米,1978年建/板楼,2室1厅1厨1卫,底层 (共6层),48.6㎡,南 北,简装,一梯三户,暂无数据,70年
34,华远北街,西城 金融街 二环内,950,万,132497,元/平米,2001年建/板塔结合,2室1厅1厨1卫,低楼层 (共17层),71.7㎡,南 北,简装,两梯十四户,有,70年
35,黄寺大街24号院,西城 六铺炕 二至三环,869,万,145318,元/平米,1995年建/板楼,2室1厅1厨1卫,低楼层 (共6层),59.8㎡,南 北,简装,一梯两户,无,70年
36,马甸南村,西城 马甸 二至三环,790,万,154599,元/平米,1986年建/塔楼,2室1厅1厨1卫,中楼层 (共16层),51.1㎡,西,简装,两梯七户,有,70年
37,牛街西里,西城 牛街 二环内,475,万,81518,元/平米,2004年建/塔楼,1室1厅1厨1卫,低楼层 (共20层),58.27㎡,西南,简装,三梯十二户,有,70年
38,月坛南街北里,西城 月坛 二至三环,899,万,122983,元/平米,1984年建/板塔结合,3室1厅1厨1卫,中楼层 (共16层),73.1㎡,西南,毛坯,两梯八户,有,70年
39,教场口6号院,西城 六铺炕 二至三环,715,万,140169,元/平米,2003年建/板楼,1室1厅1厨1卫,高楼层 (共6层),51.01㎡,南 北,简装,一梯三户,无,70年
40,车站西街17号院,西城 广安门 二至三环,460,万,96781,元/平米,1992年建/板楼,1室1厅1厨1卫,低楼层 (共6层),47.53㎡,南,简装,一梯四户,无,70年
41,五路通北街3号院,西城 六铺炕 二至三环,799,万,147690,元/平米,1978年建/板楼,2室1厅1厨1卫,顶层 (共5层),54.1㎡,南,精装,一梯三户,无,70年
42,三义西里,西城 马连道 二至三环,535,万,84107,元/平米,1986年建/塔楼,2室1厅1厨1卫,高楼层 (共14层),63.61㎡,西南,精装,一梯七户,有,70年
43,北欧印象,西城 马连道 二至三环,435,万,94792,元/平米,2003年建/塔楼,1室0厅1厨1卫,低楼层 (共25层),45.89㎡,西,简装,三梯十二户,有,70年
44,百万庄卯区,西城 阜成门 二至三环,665,万,111019,元/平米,1955年建/板楼,2室1厅1厨1卫,低楼层 (共3层),59.9㎡,南 北,精装,一梯两户,暂无数据,未知
45,三里河二区B区,西城 月坛 二至三环,1250,万,159419,元/平米,2000年建/塔楼,2室1厅1厨1卫,中楼层 (共18层),78.41㎡,西,精装,两梯十户,有,70年
46,三里河一区3号院,西城 月坛 二至三环,1883,万,159984,元/平米,1999年建/塔楼,3室1厅1厨2卫,高楼层 (共18层),117.7㎡,东南,简装,两梯十户,有,70年
47,官园胡同,西城 官园 二环内,770,万,132531,元/平米,1985年建/板楼,2室1厅1厨1卫,高楼层 (共6层),58.1㎡,南 北,精装,一梯两户,暂无数据,70年
48,似海怡家,西城 牛街 二环内,550,万,87413,元/平米,2002年建/塔楼,1室1厅1厨1卫,中楼层 (共25层),62.92㎡,西南,简装,三梯十二户,有,70年
49,九和苑,西城 车公庄 二至三环,1488,万,120340,元/平米,2004年建/板塔结合,2室2厅1厨2卫,高楼层 (共13层),123.65㎡,南 北,精装,两梯两户,有,70年
50,马连道中里,西城 马连道 二至三环,619,万,104597,元/平米,1995年建/板楼,2室1厅1厨1卫,高楼层 (共6层),59.18㎡,南,简装,一梯三户,无,70年
51,白云观,西城 木樨地 二至三环,699,万,138691,元/平米,1992年建/板楼,1室1厅1厨1卫,高楼层 (共11层),50.4㎡,西,精装,两梯十四户,有,70年
52,红莲南里,西城 马连道 二至三环,630,万,92675,元/平米,1987年建/板楼,3室1厅1厨1卫,中楼层 (共6层),67.98㎡,南 北,简装,一梯三户,无,70年
53,新安南里,西城 右安门内 二环内,556,万,109904,元/平米,1981年建/板楼,2室1厅1厨1卫,中楼层 (共5层),50.59㎡,南,简装,一梯三户,暂无数据,70年
54,德胜里一区,西城 德胜门 二至三环,865,万,141340,元/平米,1987年建/塔楼,2室1厅1厨1卫,中楼层 (共18层),61.2㎡,西南,简装,一梯七户,有,70年
55,三里河三区,西城 月坛 二至三环,735,万,143555,元/平米,1973年建/板楼,2室1厅1厨1卫,顶层 (共5层),51.2㎡,南 北,精装,一梯三户,无,70年
56,白纸坊街25号院,西城 右安门内 二环内,610,万,101195,元/平米,1996年建/板楼,2室1厅1厨1卫,高楼层 (共6层),60.28㎡,东 西,精装,一梯三户,无,70年
57,汽南小区,西城 木樨地 二至三环,720,万,140625,元/平米,1970年建/板楼,2室1厅1厨1卫,中楼层 (共5层),51.2㎡,西南,精装,一梯四户,无,70年
58,西绒线,西城 西单 二环内,920,万,126967,元/平米,2004年建/板楼,2室1厅1厨1卫,低楼层 (共6层),72.46㎡,南 北,精装,一梯四户,无,70年
59,鸭子桥北里,西城 天宁寺 二至三环,488,万,84371,元/平米,1980年建/板楼,3室1厅1厨1卫,低楼层 (共6层),57.84㎡,东 西,毛坯,一梯三户,无,70年
60,清芷园,西城 右安门内 二环内,2060,万,106109,元/平米,2001年建/板塔结合,4室1厅1厨2卫,中楼层 (共15层),194.14㎡,东 北 南,精装,一梯两户,有,70年
61,牛街东里,西城 牛街 二环内,495,万,90544,元/平米,1999年建/塔楼,1室1厅1厨1卫,高楼层 (共20层),54.67㎡,南,精装,三梯十二户,有,70年
62,新外大街乙8号院,西城 马甸 二至三环,1180,万,152495,元/平米,2002年建/板楼,2室1厅1厨1卫,中楼层 (共7层),77.38㎡,南 北,毛坯,一梯两户,无,70年
63,牛街西里,西城 牛街 二环内,618,万,82831,元/平米,1999年建/塔楼,2室1厅1厨1卫,低楼层 (共19层),74.61㎡,东南,简装,三梯十二户,有,70年
64,车站西街15号院,西城 广安门 二至三环,528,万,91971,元/平米,1994年建/板楼,2室1厅1厨1卫,低楼层 (共6层),57.41㎡,南 北,简装,一梯两户,无,70年
65,新外大街甲28号,西城 德胜门 二至三环,740,万,154812,元/平米,1977年建/板楼,2室1厅1厨1卫,顶层 (共5层),47.8㎡,东 西,精装,一梯三户,无,70年
66,小马厂南里,西城 广安门 二至三环,590,万,95609,元/平米,1993年建/板楼,2室1厅1厨1卫,中楼层 (共6层),61.71㎡,南 北,简装,一梯三户,暂无数据,70年
