,小区名称,所在区域,房屋年代,户型,楼层,建筑面积,房屋朝向,装修情况,梯户比例,配备电梯,产权年限,位置名称,总价(万),单价(元/平米),建筑类型,楼层总数
751,西便门外大街,二至三环,1988,2室1厅1厨1卫,低楼层 ,59.1㎡,东,其他,两梯八户,有,70年,木樨地,916.0,154992,板楼,12
752,椿树园,二环内,1999,1室1厅1厨1卫,低楼层 ,46.7㎡,南,简装,一梯三户,有,70年,宣武门,620.0,132763,板塔结合,13
753,地藏庵,二至三环,1980,3室1厅1厨1卫,底层 ,76.6㎡,东 西,其他,一梯两户,无,70年,月坛,992.0,129504,板楼,6
754,蝶翠华庭,二至三环,2004,1室1厅1厨1卫,中楼层 ,67.35㎡,东 北,简装,三梯十户,有,70年,广安门,675.0,100223,塔楼,21
755,蝶翠华庭,二至三环,2003,2室1厅1厨2卫,高楼层 ,94.41㎡,东南 西北,精装,三梯十户,有,70年,广安门,845.0,89504,塔楼,29
756,新明胡同,二至三环,1989,3室1厅1厨1卫,中楼层 ,71㎡,东 西,精装,一梯两户,无,70年,马甸,900.0,126761,板楼,6
757,安德路,二至三环,1997,2室2厅1厨1卫,低楼层 ,84.1㎡,东 西,简装,两梯八户,有,70年,六铺炕,1050.0,124852,板楼,12
758,白广路6号院,二环内,1955,3室0厅1厨2卫,高楼层 ,88.32㎡,东 西,简装,一梯四户,无,70年,牛街,580.0,65671,板楼,6
759,常青藤嘉园,二至三环,2004,1室1厅1厨1卫,中楼层 ,65.82㎡,北,其他,两梯六户,有,70年,马连道,600.0,91158,板楼,16
760,朝阳庵,二至三环,1992,2室1厅1厨1卫,顶层 ,61.5㎡,南 北,其他,一梯两户,无,70年,车公庄,589.0,95773,板楼,6
761,月坛南街北里,二至三环,1990,2室1厅1厨1卫,高楼层 ,60.5㎡,南,毛坯,两梯八户,有,70年,月坛,768.0,126943,塔楼,16
762,羊肉胡同120号院,二环内,1989,3室1厅1厨1卫,顶层 ,81.7㎡,南 北,简装,一梯四户,无,70年,金融街,980.0,119952,板楼,6
763,车站西街17号院,二至三环,1985,2室1厅1厨1卫,高楼层 ,60.98㎡,东 西,简装,一梯两户,无,70年,广安门,565.0,92654,板楼,6
764,平原里小区,二环内,1999,3室1厅1厨1卫,顶层 ,81.19㎡,南 北,其他,两梯两户,有,70年,牛街,766.0,94347,板楼,9
765,南纬路南巷9号院,二环内,1983,3室1厅1厨1卫,中楼层 ,70.07㎡,南 北,其他,一梯两户,无,70年,陶然亭,840.0,119881,板楼,6
766,北露园,二至三环,1993,3室1厅1厨1卫,中楼层 ,106.1㎡,东 西,简装,一梯三户,无,70年,阜成门,1250.0,117814,板楼,6
767,新文化街,二环内,1989,1室1厅1厨1卫,高楼层 ,47.4㎡,西北,其他,两梯八户,有,70年,金融街,1030.0,217300,塔楼,16
768,灵境胡同,二环内,1982,3室1厅1厨2卫,底层 ,73.3㎡,南 北,其他,一梯两户,无,70年,西单,982.0,133970,板楼,6
769,德胜置业,二至三环,2005,3室2厅1厨2卫,高楼层 ,197.09㎡,南,精装,三梯九户,有,70年,六铺炕,1800.0,91329,板楼,20
770,万博苑,二环内,1999,3室2厅1厨2卫,低楼层 ,135.05㎡,西南,简装,两梯八户,有,70年,右安门内,1100.0,81452,塔楼,23
771,恒昌花园,二至三环,1996,3室2厅1厨1卫,中楼层 ,149.6㎡,东 南,简装,两梯六户,有,70年,广安门,1330.0,88904,塔楼,23
772,广安门外南街,二至三环,1998,2室1厅1厨1卫,中楼层 ,73.27㎡,南 北,简装,两梯十一户,有,70年,天宁寺,630.0,85984,板塔结合,14
773,新安南里,二环内,1997,2室1厅1厨1卫,低楼层 ,59.02㎡,东 西,毛坯,一梯两户,暂无数据,70年,右安门内,660.0,111827,板楼,6
774,小市口胡同3号院,二至三环,1992,2室1厅1厨1卫,中楼层 ,61.5㎡,南 北,精装,一梯两户,无,70年,六铺炕,799.0,129919,板楼,6
775,西环景苑,二至三环,2001,3室1厅1厨1卫,高楼层 ,107.69㎡,南 北,精装,两梯九户,有,70年,马连道,850.0,78931,塔楼,19
776,红居街10号院,二至三环,2004,3室1厅1厨1卫,高楼层 ,117.39㎡,南 北,简装,两梯六户,有,70年,广安门,1287.0,109635,板楼,20
777,北露园,二至三环,1993,2室1厅1厨1卫,高楼层 ,77.4㎡,东,精装,一梯三户,无,70年,阜成门,815.0,105298,板楼,6
778,新文化街,二环内,1979,3室1厅1厨1卫,底层 ,71.6㎡,南 北,简装,一梯三户,无,70年,金融街,1010.0,141062,板楼,5
779,清芷园,二环内,2000,3室2厅1厨2卫,中楼层 ,166.82㎡,南 北,其他,两梯四户,有,70年,右安门内,1720.0,103106,板塔结合,17
780,车站西街15号院,二至三环,1997,2室1厅1厨1卫,中楼层 ,87.41㎡,南 西,简装,一梯三户,无,70年,广安门,790.0,90379,板楼,6
781,水电部宿舍,二至三环,1965,3室1厅1厨1卫,底层 ,87㎡,南 北,精装,一梯三户,无,70年,月坛,1195.0,137357,板楼,5
782,月坛北街甲1号院,二至三环,1989,3室1厅1厨1卫,低楼层 ,79.5㎡,东 南,其他,两梯七户,有,70年,月坛,1030.0,129560,塔楼,21
783,北礼士路,二至三环,1998,2室1厅1厨1卫,中楼层 ,61.6㎡,西,简装,一梯七户,有,70年,官园,690.0,112013,板塔结合,12
784,小石桥胡同11号院,二环内,1987,3室1厅1厨1卫,顶层 ,101.9㎡,南 北,精装,一梯两户,无,70年,六铺炕,1250.0,122670,板楼,5
785,六铺炕一区,二至三环,1994,3室1厅1厨1卫,高楼层 ,90㎡,东 西,简装,一梯三户,无,70年,六铺炕,1210.0,134445,板楼,6
786,远见名苑,二至三环,2007,2室2厅1厨2卫,低楼层 ,116.04㎡,东北,精装,两梯四户,有,70年,广安门,935.0,80576,板塔结合,17
787,北三环中路12号院,二至三环,1989,2室1厅1厨1卫,中楼层 ,73.6㎡,南 北,精装,一梯两户,有,70年,马甸,880.0,119566,板楼,12
788,三里河二区,二至三环,1959,4室1厅1厨1卫,中楼层 ,112.4㎡,南 北,简装,一梯两户,无,70年,月坛,1380.0,122776,板楼,4
789,远见名苑,二至三环,2007,2室2厅1厨2卫,中楼层 ,116.04㎡,西北,精装,两梯四户,有,70年,广安门,999.0,86092,板塔结合,17
790,远见名苑,二至三环,2004,1室0厅1厨1卫,高楼层 ,44.6㎡,西,精装,三梯十四户,有,70年,广安门,440.0,98655,塔楼,26
791,阳光丽景,二至三环,2003,2室1厅1厨2卫,中楼层 ,111.79㎡,东南,精装,两梯八户,有,70年,马甸,1760.0,157439,塔楼,19
792,裕中西里,三至四环,1989,3室1厅1厨1卫,高楼层 ,77.1㎡,南 北,简装,一梯三户,无,70年,马甸,998.0,129443,板楼,6
793,蝶翠华庭,二至三环,2003,2室1厅1厨2卫,中楼层 ,94.41㎡,东南 西北,简装,三梯十户,有,70年,广安门,870.0,92152,塔楼,29
794,白纸坊街25号院,二环内,1996,2室1厅1厨1卫,底层 ,74.91㎡,东南,简装,一梯三户,无,70年,右安门内,725.0,96783,板楼,6
795,天缘公寓,二环内,2000,3室1厅1厨2卫,高楼层 ,153.12㎡,东南,精装,两梯十户,有,70年,白纸坊,960.0,62696,塔楼,18
796,信建里小区,二环内,1980,3室1厅1厨1卫,顶层 ,56.86㎡,南 北,简装,一梯三户,无,70年,右安门内,575.0,101126,板楼,5
797,建功北里,二环内,1996,3室1厅1厨1卫,低楼层 ,84.95㎡,东 西,精装,一梯两户,无,70年,白纸坊,740.0,87111,板楼,6
798,车公庄大街6号院,二至三环,1991,2室1厅1厨1卫,低楼层 ,64.1㎡,南,简装,两梯八户,有,70年,阜成门,880.0,137286,塔楼,18
799,广安苑一期,二至三环,1999,3室2厅1厨1卫,低楼层 ,113.36㎡,东南,精装,两梯三户,有,70年,天宁寺,1230.0,108504,板塔结合,14
800,广安门外车站东街,二至三环,1993,2室1厅1厨1卫,高楼层 ,57.54㎡,南 北,精装,一梯四户,无,70年,天宁寺,627.0,108968,板楼,6
801,月坛北街25号院,二至三环,1997,3室2厅1厨2卫,中楼层 ,159㎡,南 北,精装,一梯两户,无,70年,月坛,2080.0,130818,板楼,6
802,广信嘉园,二环内,2002,2室1厅1厨2卫,高楼层 ,111.2㎡,西南,简装,两梯六户,有,70年,长椿街,900.0,80936,塔楼,21
803,如意里,二环内,1991,3室1厅1厨1卫,中楼层 ,79.1㎡,东 南 北,简装,一梯三户,无,70年,新街口,948.0,119849,板楼,7
804,宣武门外东大街,二环内,1979,3室0厅1厨1卫,中楼层 ,62.48㎡,南 北,精装,一梯五户,有,70年,宣武门,780.0,124840,板楼,11
805,天桥北里,二环内,2002,1室1厅1厨1卫,高楼层 ,55.23㎡,西,精装,一梯六户,有,70年,陶然亭,510.0,92342,板塔结合,9
806,小红庙,二至三环,1981,2室1厅1厨1卫,低楼层 ,54.83㎡,南 北,简装,一梯三户,无,70年,广安门,529.0,96481,板楼,6
807,红居南街,二至三环,1980,3室1厅1厨1卫,低楼层 ,68.72㎡,南 北,简装,一梯两户,无,70年,广安门,645.0,93860,板楼,6
808,四平园,二环内,1996,3室1厅1厨1卫,底层 ,70.45㎡,南 北,其他,一梯两户,无,70年,陶然亭,890.0,126331,板楼,6
809,黄寺大街24号院,二至三环,1995,2室1厅1厨1卫,中楼层 ,60㎡,南 北,精装,一梯两户,无,70年,六铺炕,860.0,143334,板楼,6
810,椿树园,二环内,1999,3室1厅1厨1卫,顶层 ,97.37㎡,东南,其他,两梯十二户,有,70年,宣武门,1250.0,128377,塔楼,18
811,官苑8号,二环内,2007,4室1厅1厨2卫,低楼层 ,191.96㎡,南 北,精装,一梯两户,有,70年,官园,2900.0,151074,板塔结合,16
812,手帕口北街,二至三环,1980,2室1厅1厨1卫,中楼层 ,51.64㎡,东,简装,一梯三户,无,70年,广安门,453.0,87723,板楼,6
813,北礼士路,二至三环,1999,2室1厅1厨1卫,高楼层 ,78.3㎡,西,简装,两梯九户,有,70年,官园,850.0,108557,板塔结合,14
814,天安国汇,二环内,2008,3室2厅1厨2卫,中楼层 ,197.83㎡,西南,其他,六梯十四户,有,70年,西单,1700.0,85933,塔楼,17
815,广外南街50号院,二至三环,1999,3室1厅1厨1卫,高楼层 ,95.7㎡,东 南 北,精装,两梯七户,有,70年,天宁寺,918.0,95925,塔楼,22
816,育人里小区,二环内,1999,2室1厅1厨1卫,底层 ,61.13㎡,西,毛坯,一梯四户,无,70年,右安门内,649.0,106168,板楼,6
817,新风街甲1号,二至三环,1998,2室2厅1厨1卫,中楼层 ,97㎡,南,其他,两梯六户,有,70年,马甸,1380.0,142269,板楼,14
818,西便门外大街,二至三环,1984,2室1厅1厨1卫,中楼层 ,55.43㎡,南,精装,一梯八户,有,70年,木樨地,850.0,153347,板塔结合,12
819,畅柳园,二环内,2003,2室1厅1厨1卫,中楼层 ,67.09㎡,西 北,其他,三梯十四户,有,70年,陶然亭,700.0,104338,板塔结合,16
820,牛街东里,二环内,1999,1室1厅1厨1卫,中楼层 ,54.67㎡,南,简装,三梯十二户,有,70年,牛街,545.0,99690,塔楼,20
821,侨办大院,二至三环,1991,2室1厅1厨1卫,高楼层 ,60.8㎡,东 西,简装,一梯两户,无,70年,阜成门,740.0,121711,板楼,6
822,六铺炕二区,二至三环,1958,2室1厅1厨1卫,顶层 ,63.4㎡,南 北,其他,一梯三户,无,70年,六铺炕,825.0,130127,板楼,3
823,荣丰2008,二至三环,2006,1室0厅1厨1卫,中楼层 ,33.98㎡,西,简装,三梯二十七户,有,70年,广安门,400.0,117717,塔楼,26
824,西城晶华,二环内,2008,2室1厅1厨1卫,中楼层 ,116.12㎡,西北,精装,两梯五户,有,70年,金融街,1696.0,146056,板塔结合,11
825,禄长街头条19号院,二环内,1996,2室1厅1厨1卫,低楼层 ,59.57㎡,南 北,简装,一梯两户,无,70年,陶然亭,580.0,97365,板楼,6
826,中信锦园,二环内,2009,2室1厅1厨1卫,低楼层 ,95.39㎡,南,其他,两梯三户,有,70年,陶然亭,1350.0,141525,板塔结合,18
827,考拉社区,二至三环,2006,1室0厅1厨1卫,低楼层 ,60.83㎡,西,简装,四梯十七户,有,70年,菜户营,479.0,78745,塔楼,21
828,钟声胡同,二环内,1984,2室1厅1厨1卫,底层 ,59.6㎡,南 北,其他,一梯两户,无,70年,西单,730.0,122484,板楼,6
829,小石桥胡同3号院,二环内,1989,2室1厅1厨1卫,高楼层 ,54.9㎡,南 北,精装,一梯三户,无,70年,六铺炕,805.0,146631,板楼,6
830,广华轩,二至三环,2000,2室2厅1厨1卫,低楼层 ,118.9㎡,西南,精装,两梯八户,有,70年,广安门,850.0,71489,塔楼,24
831,月坛北街,二至三环,1972,2室1厅1厨1卫,顶层 ,51.9㎡,南 北,简装,一梯三户,无,70年,月坛,640.0,123315,板楼,5
832,海格国际,二环内,2005,2室2厅1厨2卫,高楼层 ,121.08㎡,东南 南,简装,两梯二十户,有,70年,宣武门,999.0,82508,塔楼,19
833,依莲轩,二至三环,2000,1室1厅1厨1卫,高楼层 ,69.44㎡,东,简装,两梯十户,有,70年,马连道,595.0,85686,塔楼,26
834,樱桃二条8号院,二环内,2005,2室1厅1厨1卫,中楼层 ,90.7㎡,南 北,简装,一梯三户,无,70年,白纸坊,850.0,93716,板楼,6
835,马甸南村,二至三环,1993,2室1厅1厨1卫,中楼层 ,63㎡,南 北,精装,两梯七户,有,70年,马甸,910.0,144445,板塔结合,13
836,里仁街1号院,二环内,1980,2室1厅1厨1卫,中楼层 ,55.81㎡,西北,简装,一梯五户,无,70年,右安门内,580.0,103925,板楼,6
837,信和嘉园,二至三环,2006,2室1厅1厨1卫,高楼层 ,87.06㎡,西南,简装,两梯五户,有,70年,马连道,957.0,109925,板塔结合,20
838,西便门东里,二至三环,1980,2室1厅1厨1卫,中楼层 ,58.6㎡,南 北,其他,一梯三户,无,70年,木樨地,618.0,105461,板楼,6
839,馨莲茗园,二至三环,2003,1室1厅1厨1卫,中楼层 ,64.28㎡,北,简装,四梯十二户,有,70年,马连道,515.0,80119,板塔结合,25
840,前半壁街35号院, ,1986,1室1厅1厨1卫,顶层 ,39.4㎡,南,精装,一梯八户,有,70年,官园,585.0,148478,板楼,13
841,新风南里,二至三环,1997,2室2厅1厨1卫,高楼层 ,82.6㎡,南 北,精装,一梯两户,无,70年,马甸,1155.0,139831,板楼,6
842,清芷园,二环内,2000,2室1厅1厨1卫,中楼层 ,78.18㎡,西南,简装,两梯七户,有,70年,右安门内,925.0,118317,板塔结合,18
843,巴黎公寓,二至三环,2000,5室2厅1厨2卫,中楼层 ,273.38㎡,南 北,其他,一梯三户,有,70年,月坛,2600.0,95106,板楼,5
844,中信禧园,二环内,2013,3室1厅1厨2卫,高楼层 ,125.27㎡,东 西 北,精装,两梯三户,有,70年,陶然亭,1900.0,151673,板塔结合,20
845,万明路18号院,二环内,1989,3室1厅1厨1卫,低楼层 ,80.51㎡,东北,简装,一梯七户,有,70年,陶然亭,723.0,89803,塔楼,16
846,馨莲茗园,二至三环,2003,1室1厅1厨1卫,低楼层 ,53.2㎡,北,精装,四梯十二户,有,70年,马连道,500.0,93985,板塔结合,25
847,裕中西里,三至四环,1991,2室1厅1厨1卫,高楼层 ,73.1㎡,西南,精装,两梯八户,有,70年,马甸,940.0,128591,塔楼,24
848,西便门内大街97号院,二环内,1992,2室1厅1厨1卫,底层 ,54.01㎡,南 北,精装,一梯三户,无,70年,长椿街,576.0,106647,板楼,6
849,新明嘉园,二至三环,2000,4室3厅1厨2卫,高楼层 ,149.9㎡,南 北,简装,一梯两户,无,70年,马甸,1790.0,119413,板楼,7
850,民康胡同30号院,二环内,1991,3室1厅1厨1卫,底层 ,74㎡,西 北,简装,两梯九户,有,70年,金融街,949.0,128244,塔楼,19
851,南华东街2号院,二环内,1964,2室1厅1厨1卫,中楼层 ,62.2㎡,南,简装,一梯三户,无,70年,陶然亭,600.0,96464,板楼,5
852,常青藤嘉园,二至三环,2005,1室1厅1厨1卫,顶层 ,68.47㎡,南,精装,两梯四户,有,70年,马连道,680.0,99314,板楼,16
853,中信沁园,二环内,2011,3室2厅1厨2卫,中楼层 ,128.33㎡,南 北,毛坯,两梯三户,有,70年,陶然亭,1930.0,150394,板塔结合,20
854,依莲轩,二至三环,2000,1室1厅1厨1卫,中楼层 ,69.44㎡,东,简装,两梯十户,有,70年,马连道,610.0,87846,塔楼,26
855,政泰家园,二至三环,2004,2室2厅1厨1卫,顶层 ,101.86㎡,西,精装,两梯六户,有,70年,菜户营,735.0,72158,塔楼,22
856,清芷园,二环内,2003,2室1厅2厨1卫,中楼层 ,91.44㎡,东,精装,两梯六户,有,70年,右安门内,1020.0,111549,板塔结合,18
857,老墙根38号院,二环内,2003,3室2厅1厨1卫,中楼层 ,123.75㎡,南 北,精装,一梯一户,暂无数据,70年,长椿街,1500.0,121213,板楼,6
858,一瓶,二环内,2006,4室2厅1厨2卫,低楼层 ,257.47㎡,南 北,简装,一梯两户,有,70年,陶然亭,3259.0,126578,板楼,12
859,西环景苑,二至三环,2001,1室1厅1厨1卫,底层 ,60.41㎡,北,精装,两梯九户,有,70年,马连道,505.0,83596,塔楼,19
860,康乐里小区,二环内,1999,3室1厅1厨2卫,低楼层 ,129.8㎡,南,简装,一梯八户,有,70年,长椿街,1520.0,117104,塔楼,14
861,远见名苑,二至三环,2006,2室1厅1厨1卫,底层 ,78.21㎡,东南,其他,三梯十四户,有,70年,广安门,798.0,102033,塔楼,25
862,爱民里小区,二环内,1990,2室1厅1厨1卫,顶层 ,59.1㎡,东,精装,一梯六户,无,70年,西四,770.0,130288,板楼,7
863,华裕园小区,二环内,2000,1室1厅1厨1卫,底层 ,56.8㎡,西北,简装,一梯四户,无,70年,西四,830.0,146127,板楼,5
864,荣丰2008,二至三环,2004,2室0厅1厨1卫,高楼层 ,35.35㎡,南,简装,四梯三十三户,有,70年,广安门,452.0,127865,塔楼,20
865,新风南里,二至三环,1997,3室1厅1厨1卫,顶层 ,117.8㎡,南 西 北,简装,一梯两户,无,70年,马甸,1460.0,123939,板楼,6
866,牛街西里,二环内,1999,2室1厅1厨1卫,低楼层 ,74.61㎡,西南,简装,三梯十二户,有,70年,牛街,599.0,80285,塔楼,19
867,清芷园,二环内,2000,3室1厅1厨1卫,低楼层 ,92.15㎡,东,精装,两梯七户,有,70年,右安门内,1050.0,113945,板塔结合,18
868,西便门外大街,二至三环,1957,4室1厅1厨1卫,顶层 ,122.5㎡,南 北,简装,一梯三户,无,70年,木樨地,1280.0,104490,板楼,4
869,康乐里小区,二环内,1999,2室1厅1厨1卫,顶层 ,108.52㎡,西,精装,两梯七户,有,70年,长椿街,1226.0,112975,塔楼,16
870,建功南里,二环内,1996,3室1厅1厨1卫,低楼层 ,89.73㎡,西南,简装,两梯十户,有,70年,白纸坊,758.0,84476,塔楼,16
871,远见名苑,二至三环,2004,2室1厅1厨1卫,中楼层 ,83.1㎡,西,简装,三梯十四户,有,70年,广安门,785.0,94465,塔楼,26
872,白云路七号院,二至三环,1987,2室1厅1厨1卫,中楼层 ,57.8㎡,东 西,精装,一梯三户,无,70年,木樨地,745.0,128893,板楼,6
873,荣丰2008,二至三环,2007,1室1厅1厨2卫,中楼层 ,54.02㎡,南,简装,三梯二十五户,有,70年,广安门,698.0,129212,塔楼,16
874,天桥北里,二环内,2002,1室1厅1厨1卫,顶层 ,54.96㎡,西,精装,一梯六户,无,70年,陶然亭,459.0,83516,板塔结合,7
875,格调,二至三环,2007,2室1厅1厨1卫,顶层 ,72.37㎡,西 西北,精装,两梯六户,有,70年,马连道,660.0,91199,板塔结合,23
876,如意里,二环内,1992,1室1厅1厨1卫,高楼层 ,48.7㎡,东,精装,一梯七户,无,70年,新街口,565.0,116017,板楼,7
877,马连道西里,二至三环,1976,2室1厅1厨1卫,中楼层 ,53.44㎡,南,简装,一梯三户,无,70年,马连道,480.0,89821,板楼,5
878,蝶翠华庭,二至三环,2004,2室1厅1厨2卫,低楼层 ,104.75㎡,东南,简装,四梯十户,有,70年,广安门,960.0,91647,塔楼,29
879,红居南街,二至三环,1980,3室1厅1厨1卫,顶层 ,69.3㎡,南 北,精装,一梯两户,无,70年,广安门,630.0,90910,板楼,6
880,考拉社区,二至三环,2006,1室1厅1厨1卫,中楼层 ,56.74㎡,东北,精装,四梯十七户,有,70年,菜户营,498.0,87769,塔楼,21
881,西直门南大街,二环内,1985,3室1厅1厨1卫,顶层 ,81㎡,东 南 西,简装,两梯八户,有,70年,官园,900.0,111112,板塔结合,14
882,信德园,二至三环,2002,2室2厅1厨1卫,中楼层 ,108.59㎡,西南,简装,两梯八户,有,70年,菜户营,750.0,69068,塔楼,21
883,洪茂沟社区,二至三环,1984,2室1厅1厨1卫,中楼层 ,54㎡,东 西,简装,一梯两户,无,70年,月坛,760.0,140741,板楼,6
884,官苑8号,二环内,2007,2室1厅1厨1卫,低楼层 ,94.39㎡,西 南,其他,两梯六户,有,70年,官园,1548.0,164001,板塔结合,16
885,椿树园,二环内,1999,2室1厅1厨1卫,中楼层 ,70.55㎡,西南,其他,一梯四户,有,70年,宣武门,790.0,111978,板塔结合,13
886,北欧印象,二至三环,2003,2室1厅1厨2卫,低楼层 ,97.77㎡,南,精装,三梯十七户,有,70年,马连道,899.0,91951,塔楼,28
887,三里河居民区,二至三环,1987,3室1厅1厨1卫,中楼层 ,63.2㎡,南 北,简装,一梯三户,无,70年,月坛,890.0,140823,板楼,6
888,天宁寺东里,二至三环,1985,2室1厅1厨1卫,中楼层 ,60.99㎡,东 西,简装,一梯两户,无,70年,天宁寺,490.0,80342,板楼,7
889,泰和嘉苑,二环内,2003,3室1厅1厨2卫,中楼层 ,119.67㎡,西南,精装,三梯十五户,有,70年,牛街,1250.0,104454,塔楼,21
890,文华园,二至三环,1995,3室1厅1厨1卫,中楼层 ,80.6㎡,南 北,精装,一梯十八户,有,70年,阜成门,1050.0,130273,板楼,12
891,车站西街17号院,二至三环,1992,1室1厅1厨1卫,低楼层 ,46.8㎡,南,其他,一梯四户,无,70年,广安门,438.0,93590,板楼,6
892,红山世家,二至三环,2011,2室1厅1厨1卫,中楼层 ,92.02㎡,东 西,其他,两梯四户,有,70年,广安门,1060.0,115193,板塔结合,26
893,四合上院,二环内,2010,2室1厅1厨1卫,中楼层 ,98.07㎡,东 西,精装,一梯三户,有,70年,宣武门,1298.0,132355,板塔结合,16
894,万明园,二至三环,1993,4室1厅1厨2卫,中楼层 ,138.1㎡,东 南 北,简装,两梯八户,有,70年,月坛,1550.0,112238,塔楼,20
895,大石桥胡同29号院,二环内,1981,3室1厅1厨1卫,顶层 ,56.7㎡,南 北,精装,一梯三户,无,70年,六铺炕,795.0,140212,板楼,6
896,塔院胡同12号院,二至三环,1985,3室1厅1厨1卫,底层 ,78.4㎡,南 北,精装,一梯三户,无,70年,六铺炕,1000.0,127552,板楼,6
897,广安苑一期,二至三环,1986,3室1厅1厨1卫,中楼层 ,76.08㎡,东南,其他,一梯五户,无,70年,天宁寺,750.0,98581,板楼,6
898,西便门外大街,二至三环,1955,3室1厅1厨1卫,顶层 ,102.9㎡,东 西,简装,一梯三户,无,70年,木樨地,950.0,92323,板楼,4
899,朗琴园,二至三环,2002,2室1厅1厨1卫,中楼层 ,96.9㎡,东,精装,两梯八户,有,70年,广安门,1080.0,111456,塔楼,28
900,西豪逸景,二至三环,2002,2室1厅1厨1卫,中楼层 ,78.36㎡,东 南,毛坯,三梯十三户,有,70年,广安门,685.0,87418,塔楼,28
901,牛街东里,二环内,1999,3室1厅1厨2卫,高楼层 ,92.86㎡,西南,精装,三梯十二户,有,70年,牛街,900.0,96921,塔楼,19
902,白广路6号院,二环内,1986,2室1厅1厨1卫,顶层 ,63.33㎡,南 北,其他,两梯三户,有,70年,牛街,610.0,96321,板楼,14
903,三义东里,二至三环,1987,2室1厅1厨1卫,低楼层 ,54.35㎡,东南,精装,一梯九户,有,70年,马连道,558.0,102668,塔楼,16
904,安德路,二至三环,1986,2室1厅1厨1卫,中楼层 ,50.9㎡,南,其他,一梯三户,无,70年,六铺炕,779.0,153046,板楼,6
905,宣武门西大街,二环内,1979,2室1厅1厨1卫,低楼层 ,54.99㎡,南,其他,一梯九户,有,70年,金融街,589.0,107111,板楼,12
906,民康胡同30号院,二环内,1991,2室1厅1厨1卫,低楼层 ,58.4㎡,东 北,其他,两梯九户,有,70年,金融街,850.0,145548,塔楼,19
907,裕中东里,三至四环,1987,2室1厅1厨1卫,低楼层 ,60.7㎡,南 北,精装,一梯三户,无,70年,马甸,820.0,135091,板楼,6
908,万博苑,二环内,1999,2室1厅1厨1卫,低楼层 ,110.93㎡,西南,精装,两梯九户,有,70年,右安门内,1080.0,97359,塔楼,23
909,常青藤嘉园,二至三环,2004,2室1厅1厨1卫,中楼层 ,96.7㎡,南,精装,两梯八户,有,70年,马连道,930.0,96174,塔楼,22
910,建功南里,二环内,1996,3室1厅1厨2卫,中楼层 ,115.48㎡,东 西 北,简装,两梯六户,有,70年,白纸坊,1008.0,87288,塔楼,18
911,广信嘉园,二环内,2002,2室1厅1厨2卫,中楼层 ,120.71㎡,西北,其他,两梯六户,有,70年,长椿街,830.0,68760,塔楼,21
912,车站东街甲9号院,二至三环,1995,4室1厅1厨1卫,顶层 ,85.26㎡,东 南 西,简装,一梯两户,无,70年,天宁寺,770.0,90312,板楼,6
913,百万庄中里,二至三环,1993,3室1厅1厨1卫,底层 ,66.8㎡,东南,简装,一梯六户,无,70年,阜成门,934.6,139900,板楼,6
914,天缘公寓,二环内,2000,3室2厅1厨2卫,中楼层 ,187.25㎡,西,简装,两梯十户,有,70年,白纸坊,1080.0,57677,塔楼,18
915,里仁街3号院,二环内,1997,3室1厅1厨1卫,高楼层 ,93.15㎡,东 北,简装,两梯八户,有,70年,右安门内,1098.0,117875,塔楼,18
916,万博苑,二环内,1999,3室2厅1厨2卫,高楼层 ,134.17㎡,南,精装,两梯九户,有,70年,右安门内,1198.0,89290,塔楼,23
917,清芷园,二环内,2007,3室2厅1厨2卫,低楼层 ,151.87㎡,南 北,其他,一梯两户,有,70年,右安门内,1550.0,102061,板楼,12
918,广信嘉园,二环内,2002,3室1厅1厨1卫,中楼层 ,131.73㎡,西南,其他,两梯六户,有,70年,长椿街,950.0,72118,塔楼,18
919,马连道中里,二至三环,1995,1室1厅1厨1卫,顶层 ,58.86㎡,南 北,简装,一梯三户,无,70年,马连道,540.0,91744,板楼,6
920,椿树园,二环内,1999,3室2厅1厨1卫,低楼层 ,114.62㎡,东 西,精装,一梯两户,有,70年,宣武门,1090.0,95097,板塔结合,14
921,大井胡同,二至三环,1989,3室1厅1厨1卫,中楼层 ,71.8㎡,南 北,简装,一梯四户,无,70年,六铺炕,915.0,127438,板楼,6
922,裕中东里,三至四环,1990,3室1厅1厨1卫,中楼层 ,93.2㎡,东 南 西 北,简装,两梯八户,有,70年,马甸,1258.0,134979,塔楼,16
923,右安门内西街,二环内,1978,3室1厅1厨1卫,中楼层 ,68.49㎡,南 北,简装,一梯三户,无,70年,右安门内,650.0,94905,板楼,5
924,中信锦园,二环内,2009,2室1厅1厨2卫,中楼层 ,95.39㎡,南,简装,两梯三户,有,70年,陶然亭,1300.0,136283,板塔结合,18
925,月坛西街乙2号院,二至三环,1990,3室1厅1厨1卫,中楼层 ,71.2㎡,东 南 西 北,其他,两梯八户,有,70年,月坛,889.0,124860,塔楼,18
926,南纬路2号院,二环内,1981,2室1厅1厨1卫,低楼层 ,61.02㎡,南 北,简装,一梯六户,有,70年,陶然亭,660.0,108162,板塔结合,12
927,三里河东路甲8号院,二至三环,1996,2室1厅1厨1卫,底层 ,88.7㎡,南 北,简装,两梯六户,有,70年,月坛,1200.0,135288,塔楼,16
